URL,Price (₪),Rooms,Street,Neighborhood,City,Floor,SqM,Phone,Type,Image URL
https://www.yad2.co.il/item/8jog0kcc,2690000,4,אורנה פורת,הרקפות,ראשון לציון,5,120,055-2129795,Private,https://img.yad2.co.il/Pic/202512/14/2_1/o/y2_1pa_010926_20251214180530.jpeg
https://www.yad2.co.il/item/duvn5q5r,2680000,4,אריק איינשטיין,הרקפות,ראשון לציון,3,107,050-7613337,Private,https://img.yad2.co.il/Pic/202512/09/2_1/o/y2_1pa_010571_20251209100809.jpeg
https://www.yad2.co.il/item/zr8nsk4i,2680000,4,אורנה פורת,הרקפות,ראשון לציון,3,120,055-2121047,Private,https://img.yad2.co.il/Pic/202512/15/2_1/o/y2_1_02588_20251215135533.jpeg
https://www.yad2.co.il/item/xg7f26mi,2660000,4,לא ידוע,הרקפות,ראשון לציון,4,120,055-4369819,Agency,https://img.yad2.co.il/Pic/202411/28/2_5/o/y2_5_RI6O2X0qny_20241128.jpg
https://www.yad2.co.il/item/p7a10czj,2650000,4,לא ידוע,הרקפות,ראשון לציון,5,120,055-4369819,Agency,https://img.yad2.co.il/Pic/202509/08/2_5/o/y2_1pa_010884_20250908145746.jpeg
https://www.yad2.co.il/item/r4fgtpa9,2650000,4,לא ידוע,הרקפות,ראשון לציון,5,120,055-4369819,Agency,https://img.yad2.co.il/Pic/202509/08/2_5/o/y2_1pa_010816_20250908152941.jpeg
https://www.yad2.co.il/item/3pt44j5f,2650000,4,חיים חפר,הרקפות,ראשון לציון,10,124,055-4367372,Agency,
https://www.yad2.co.il/item/649ci32h,2640000,4,חיים חפר,הרקפות,ראשון לציון,2,102,055-2126073,Private,https://img.yad2.co.il/Pic/202511/25/2_1/o/y2_1pa_010337_20251125062658.jpeg
https://www.yad2.co.il/item/nfm52nzt,2590000,4,לא ידוע,הרקפות,ראשון לציון,5,119,055-4367481,Agency,https://img.yad2.co.il/Pic/202506/23/2_5/o/y2_2_3u6kmDonEx_20250623.jpeg
https://www.yad2.co.il/item/ylh7gb0k,2590000,4,לא ידוע,הרקפות,ראשון לציון,5,120,053-7934431,Agency,https://img.yad2.co.il/Pic/202506/15/2_5/o/y2_1pa_010210_20250615005855.jpeg
https://www.yad2.co.il/item/yukl2dmn,2585000,4,יעקב בן סירא,הרקפות,ראשון לציון,3,117,055-4367372,Agency,https://img.yad2.co.il/Pic/202508/25/2_5/o/y2_1pa_010929_20250825224917.jpeg
https://www.yad2.co.il/item/pbb9vivv,2585000,4,יעקב בן סירא,הרקפות,ראשון לציון,3,117,055-4367372,Agency,
https://www.yad2.co.il/item/rc4h3iih,2580000,4,אריק איינשטיין,הרקפות,ראשון לציון,3,107,052-4754966,Private,https://img.yad2.co.il/Pic/202511/09/2_1/o/y2_1pa_010225_20251109215404.jpeg
https://www.yad2.co.il/item/42wn2ues,2550000,4,אורנה פורת,הרקפות,ראשון לציון,2,120,055-4369816,Agency,https://img.yad2.co.il/Pic/202408/18/2_5/o/y2_1pa_010885_20240818104643.jpeg
https://www.yad2.co.il/item/3ytmq5mg,2550000,4,אורנה פורת,הרקפות,ראשון לציון,4,120,055-4369816,Agency,https://img.yad2.co.il/Pic/202408/04/2_5/o/y2_1pa_010563_20240804103050.jpeg
https://www.yad2.co.il/item/aofphzwh,2350000,3,חיים חפר,הרקפות,ראשון לציון,8,92,052-4545794,Private,https://img.yad2.co.il/Pic/202505/03/2_1/o/y2_1_07874_20250503220201.jpeg
https://www.yad2.co.il/item/h7ya6c5s,2350000,3,ירושלים,נרקיסים,ראשון לציון,8,92,055-2126467,Private,https://img.yad2.co.il/Pic/202511/24/2_1/o/y2_1pa_010623_20251124213239.jpeg
